



time,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,date,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,angle_to_goal,distance_to_goal,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"338.738323126","/home/SC-23/program/FM/FM_2/_FM.py","accel","212",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"338.74980519","/home/SC-23/program/FM/FM_2/_FM.py","accel","223",,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,
"338.750312791","/home/SC-23/program/FM/FM_2/_FM.py","accel","224",,,,"motor: accel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"342.755304905","/home/SC-23/program/FM/FM_2/bno055.py","getVector","319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.4","0.87","-9.75",,,,
"342.755753674","/home/SC-23/program/FM/FM_2/_FM.py","main","960",,,,"muki_seizyou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"346.688922444","/home/SC-23/program/FM/FM_2/_FM.py","leftturn","260",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"346.705176444","/home/SC-23/program/FM/FM_2/_FM.py","leftturn","272",,,,,,,,,,,,,,,,,,,,,,,"-1","1",,,,,,,,,,,,,,,,,,,,,,,
"352.706958365","/home/SC-23/program/FM/FM_2/_FM.py","accel","212",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"352.719555396","/home/SC-23/program/FM/FM_2/_FM.py","accel","223",,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,
"352.720048366","/home/SC-23/program/FM/FM_2/_FM.py","accel","224",,,,"motor: accel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"354.722661959","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.023333333333333334","-0.10333333333333333","0.035555555555555556",,,,,,,
"354.925337067","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.07888888888888888","-0.15222222222222223","-0.03111111111111111",,,,,,,
"355.127146491","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.0022222222222222222","0.2877777777777778","-0.015555555555555555",,,,,,,
"355.328708904","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.04111111111111111","-0.26","-0.02",,,,,,,
"355.530265546","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0077777777777777776","0.4222222222222222","0.035555555555555556",,,,,,,
"355.730813302","/home/SC-23/program/FM/FM_2/_FM.py","retreat","482",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"355.743901409","/home/SC-23/program/FM/FM_2/_FM.py","retreat","493",,,,,,,,,,,,,,,,,,,,,,,"-1","-1",,,,,,,,,,,,,,,,,,,,,,,
"355.744350269","/home/SC-23/program/FM/FM_2/_FM.py","retreat","494",,,,"motor: accel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"358.746743643","/home/SC-23/program/FM/FM_2/_FM.py","rightturn","279",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"358.759227628","/home/SC-23/program/FM/FM_2/_FM.py","rightturn","291",,,,,,,,,,,,,,,,,,,,,,,"1","-1",,,,,,,,,,,,,,,,,,,,,,,
"359.759806762","/home/SC-23/program/FM/FM_2/_FM.py","accel","212",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"359.772967785","/home/SC-23/program/FM/FM_2/_FM.py","accel","223",,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,
"359.77338196","/home/SC-23/program/FM/FM_2/_FM.py","accel","224",,,,"motor: accel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"362.778007444","/home/SC-23/program/FM/FM_2/bno055.py","getVector","319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.54","0.0","-9.79",,,,
